System,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Ephemeris_reference
Kepler-845b,KTEP,19,23,49.81,+49,12,13.7,14.92,12.52,0.0595,0.05,2454966.90598,0.00053,0.9278598,0.0000006,2016ApJ...822...86M
Kepler-846b,KTEP,19,08,13.68,+49,02,45.6,15.82,13.98,0.1439,0.06,2454972.37983,0.00400,19.8078776,0.0000942,2016ApJ...822...86M
Kepler-847b,KTEP,18,54,01.15,+49,27,03.6,15.08,12.71,0.0851,0.02,2454966.20732,0.00300,2.3432306,0.0000077,2016ApJ...822...86M
Kepler-848b,KTEP,19,33,09.18,+48,48,41.8,14.18,12.43,0.2364,0.02,2454969.64878,0.00300,6.9113422,0.0000248,2016ApJ...822...86M
Kepler-850b,KTEP,19,32,20.27,+48,34,31.4,15.59,13.99,0.1420,0.03,2454969.05065,0.00400,7.1930493,0.0000360,2016ApJ...822...86M
Kepler-851b,KTEP,19,38,43.26,+49,08,24.5,15.32,13.39,0.1224,0.03,2454967.64421,0.00400,8.5069807,0.0000361,2016ApJ...822...86M
Kepler-852b,KTEP,19,49,33.98,+48,33,38.4,14.08,12.59,0.2725,0.04,2454973.20770,0.00400,44.9306706,0.0002611,2016ApJ...822...86M
Kepler-853b,KTEP,18,55,44.83,+49,06,37.1,12.38,11.15,0.1949,0.01,2454968.67854,0.00300,7.1689306,0.0000257,2016ApJ...822...86M
Kepler-855b,KTEP,19,40,22.80,+43,32,15.2,15.22,13.34,0.2173,0.63,2455193.51413,0.00031,7.8866325,0.0000035,2016ApJ...822...86M
Kepler-856b,KTEP,19,18,24.91,+46,18,53.8,15.77,13.90,0.1289,0.87,2455193.17135,0.00017,8.0276811,0.0000020,2016ApJ...822...86M
Kepler-857b,KTEP,19,38,31.77,+43,24,01.7,15.25,13.40,0.2813,0.47,2454994.00761,0.00094,85.3514875,0.0001029,2016ApJ...822...86M
Kepler-858b,KTEP,19,15,23.67,+51,12,32.5,12.59,10.86,0.3308,0.29,2455032.47624,0.00055,76.1362222,0.0000520,2016ApJ...822...86M
Kepler-859b,KTEP,19,06,58.05,+43,11,24.3,16.15,13.86,0.1580,0.16,2454975.31499,0.00200,20.3817480,0.0000524,2016ApJ...822...86M
Kepler-860b,KTEP,19,42,18.54,+46,15,17.0,15.63,13.75,0.1081,0.09,2455190.48217,0.00100,5.1013757,0.0000088,2016ApJ...822...86M
Kepler-861b,KTEP,19,29,24.94,+46,13,34.6,15.87,13.53,0.0645,0.08,2454967.61096,0.00100,3.9496271,0.0000053,2016ApJ...822...86M
Kepler-862b,KTEP,19,51,07.02,+46,29,33.8,15.55,13.31,0.0916,0.06,2455189.93612,0.00200,3.1486616,0.0000083,2016ApJ...822...86M
Kepler-863b,KTEP,19,50,39.48,+43,14,56.2,15.62,13.71,0.2103,0.09,2454970.56360,0.00200,15.5946604,0.0000423,2016ApJ...822...86M
Kepler-864b,KTEP,19,00,13.70,+46,19,14.4,15.92,14.22,0.1666,0.05,2454971.74892,0.00300,5.8337620,0.0000182,2016ApJ...822...86M
Kepler-865b,KTEP,19,50,53.82,+43,31,38.7,14.70,12.68,0.1793,0.07,2454973.58934,0.00100,14.1640007,0.0000247,2016ApJ...822...86M
Kepler-866b,KTEP,19,20,29.35,+43,05,08.0,16.14,13.48,0.0852,0.05,2454967.03294,0.00200,2.6170284,0.0000066,2016ApJ...822...86M
Kepler-867b,KTEP,19,09,08.47,+51,14,59.9,15.01,13.15,0.4520,0.24,2454971.29013,0.00300,150.241258,0.0005486,2016ApJ...822...86M
