Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter
Kepler-296f,3740,130.0,130.0,-0.08,0.28,0.3,0.498,0.067,0.087,0.48,0.066,0.087,4.774,0.091,0.059,4.5,2.3,1.1,,,,0.255,0.043,0.042,,,,0.161,0.028,0.027,,,,,,,,,,2014ApJ...784...45R,2015ApJ...809....7B,TEP,19,6,9.6,49,26,14.4,16.71,12.6,0.1565,0.1,2454995.6029,0.0072,63.33627,6e-05,2015ApJ...809....7B,0.27
Kepler-302b,5740,107.0,107.0,0.06,0.1,0.1,0.966,,,0.833,,,,,,,,,,,,,,,0.19,0.15,0.15,0.26,0.1,0.02,,,,,,,,,,2014ApJ...784...45R,2018AJ....156...96W,TEP,19,37,16.08,43,37,45.6,15.68,13.9,0.2475,0.1,2454979.64006,0.00373,30.184104,0.000203,2014ApJ...784...45R,0.73
Kepler-302c,5740,107.0,107.0,0.06,0.1,0.1,0.966,,,0.833,,,,,,,,,,,,,,,2.9,1.7,1.7,0.83,0.34,0.07,,,,,,,,,,2014ApJ...784...45R,2018AJ....156...96W,TEP,19,37,16.08,43,37,45.6,15.68,13.9,0.2983,0.82,2454996.88937,0.00213,127.282184,0.000427,2014ApJ...784...45R,0.83
Kepler-305b,5090,101.0,101.0,0.03,0.1,0.1,0.827,0.046,0.046,0.792,0.025,0.025,4.561,0.15,0.15,1.65,0.17,0.17,0.005,0.0035,0.0034,0.0586,,,0.018,0.0083,0.0083,0.2524,0.0084,0.0084,,,,,,,833.0,,,2013ApJ...778..110M,2023A+A...669A.117L,TEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1147,0.13,2455189.07559,0.00176,5.487108,2.1e-05,2014ApJ...784...45R,
Kepler-305c,5090,101.0,101.0,0.03,0.1,0.1,0.827,0.046,0.046,0.792,0.025,0.025,4.561,0.15,0.15,1.65,0.17,0.17,0.005,0.005,0.005,0.0771,,,0.0133,0.0066,0.0066,0.2226,0.0079,0.0078,,,,,,,729.0,,,2013ApJ...778..110M,2023A+A...669A.117L,TEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1264,0.1,2455192.63623,0.00322,8.290858,5.6e-05,2014ApJ...784...45R,
Kepler-305d,5090,101.0,101.0,0.03,0.1,0.1,0.827,0.046,0.046,0.792,0.025,0.025,4.561,0.15,0.15,1.65,0.17,0.17,0.025,0.025,0.025,,,,0.0195,0.0055,0.0042,0.2462,0.0107,0.0107,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,56,53.84,40,20,35.5,16.09,13.7,0.1025,0.11,2455192.41608,0.00358,16.738661,0.000145,2014ApJ...784...45R,0.62
Kepler-307b,5367,94.0,94.0,0.028,0.017,0.017,0.907,0.034,0.034,0.814,0.024,0.024,,,,,,,,,,,,,0.0234,0.0029,0.0027,0.217,0.008,0.008,,,,,,,,,,2014ApJS..210...25X,2016ApJ...820...39J,TEP,19,51,10.83,40,25,3.8,14.25,12.32,0.1128,0.08,2454976.04582,0.00098,10.415728,1.8e-05,2014ApJ...784...45R,
Kepler-307c,5367,94.0,94.0,0.028,0.017,0.017,0.907,0.034,0.034,0.814,0.024,0.024,,,,,,,,,,,,,0.0115,0.0021,0.0018,0.196,0.006,0.006,,,,,,,,,,2014ApJS..210...25X,2016ApJ...820...39J,TEP,19,51,10.83,40,25,3.8,14.25,12.32,0.1293,0.07,2454965.63174,0.00134,13.084194,3.3e-05,2014ApJ...784...45R,
Kepler-323b,5987,150.0,150.0,-0.19,0.1,0.1,1.017,,,1.178,0.228,0.228,4.31,0.15,0.15,0.878,0.424,0.424,,,,,,,0.0063,0.0038,0.0035,0.1203,0.0037,0.0037,,,,3.4,2.1,1.8,,,,2014ApJ...784...45R,2024AJ....167..160T,TEP,19,25,31.74,38,7,38.9,12.82,11.35,0.0983,0.01,2454969.0529,0.0009,1.678325,2e-06,2024AJ....167..160T,0.09
Kepler-323c,5987,150.0,150.0,-0.19,0.1,0.1,1.017,,,1.178,0.228,0.228,4.31,0.15,0.15,0.878,0.424,0.424,,,,,,,0.0204,0.005,0.005,0.1367,0.0045,0.0045,,,,7.5,2.0,1.9,,,,2014ApJ...784...45R,2024AJ....167..160T,TEP,19,25,31.74,38,7,38.9,12.82,11.35,0.1271,0.02,2454967.641,0.001,3.55383,5e-06,2024AJ....167..160T,0.1
Kepler-345b,4722,118.0,118.0,-0.02,0.1,0.1,0.786,0.029,0.029,0.819,0.047,0.047,4.683,0.15,0.15,1.39,0.19,0.19,0.03,0.03,0.03,,,,0.0069,0.0048,0.0048,0.0964,0.0068,0.0068,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,40,54.91,45,58,15.7,14.44,11.55,0.0821,0.02,2454970.81508,0.00409,7.415563,5.4e-05,2014ApJ...784...45R,0.15
Kepler-345c,4722,118.0,118.0,-0.02,0.1,0.1,0.786,0.029,0.029,0.819,0.047,0.047,4.683,0.15,0.15,1.39,0.19,0.19,0.025,0.025,0.025,,,,0.016,0.011,0.011,0.1811,0.0116,0.0116,,,,,,,,,,2014ApJ...784...45R,2023A+A...669A.117L,TEP,19,40,54.91,45,58,15.7,14.44,11.55,0.0648,0.04,2454970.38084,0.00171,9.387427,2.8e-05,2014ApJ...784...45R,0.2
Kepler-391b,5038,57.0,57.0,0.04,0.02,0.02,1.27,0.081,0.081,2.88,0.32,0.32,3.62,0.05,0.05,0.052,0.094,0.094,0.0,0.46,0.0,0.083,0.012,0.013,,3.5,0.0,0.223,0.026,0.026,,,,0.0,290.0,0.0,930.0,37.0,140.0,2014ApJ...784...45R,2020A+A...634A..29J,TEP,19,22,29.24,51,3,26.3,13.23,10.97,0.2847,0.01,2454970.95889,0.01172,7.416755,0.000129,2020A+A...634A..29J,0.38
Kepler-391c,5038,57.0,57.0,0.04,0.02,0.02,1.27,0.081,0.081,2.88,0.32,0.32,3.62,0.05,0.05,0.052,0.094,0.094,0.0,0.23,0.0,0.164,0.026,0.022,,1.4,0.0,0.257,0.029,0.029,,,,0.0,300.0,0.0,662.0,89.0,97.0,2014ApJ...784...45R,2020A+A...634A..29J,TEP,19,22,29.24,51,3,26.3,13.23,10.97,0.4325,0.01,2454979.92391,0.01078,20.485435,0.000393,2020A+A...634A..29J,0.11
Kepler-406b,5538,74.0,74.0,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,4.409,0.02,0.02,0.79,0.01,0.01,0.0,,,,,,0.02,0.004,0.004,0.128,0.003,0.003,,,,8.91,2.04,2.04,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,27,23.53,44,58,5.6,12.67,10.97,0.11,0.018,2454954.9285,0.001,2.4263068,1.3e-06,2016ApJS..225....9H,0.1
Kepler-406c,5538,74.0,74.0,0.18,0.07,0.07,1.07,0.06,0.06,1.07,0.02,0.02,4.409,0.02,0.02,0.79,0.01,0.01,0.0,,,,,,,0.019,0.0,0.076,0.003,0.003,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,27,23.53,44,58,5.6,12.67,10.97,0.124,0.005,2455032.366,0.0045,4.62339,4.8e-05,2013ApJS..204...24B,0.36
Kepler-407,5476,75.0,75.0,0.33,0.07,0.07,1.0,0.06,0.06,1.01,0.07,0.07,4.426,0.06,0.06,0.98,0.11,0.11,0.0,,,,,,,0.01,0.0,0.095,0.002,0.002,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,4,8.72,49,36,52.2,12.68,10.91,0.054,0.014,2454953.74565,9e-05,0.66931,1.1e-06,2016ApJS..225....9H,0.25
Kepler-408,6088,65.0,65.0,-0.138,0.043,0.042,1.05,0.04,0.04,1.253,0.051,0.051,4.318,0.08,0.089,,,,0.0,,,,,,,,,0.077,0.004,0.004,,,,,,,,,,2014ApJS..210...20M,2019AJ....157..137K,TEP,18,59,8.69,48,25,23.6,8.82,7.49,0.051,0.003,2454965.6804,0.0003,2.465024,5e-06,2019AJ....157..137K,0.92
Kepler-409,5460,75.0,75.0,0.08,0.1,0.1,0.92,0.06,0.06,0.89,0.02,0.02,4.499,0.03,0.03,1.28,0.0,0.0,0.0,,,,,,,0.069,0.0,0.106,0.003,0.003,,,,,,,,,,2014ApJS..210...20M,2014ApJS..210...20M,TEP,19,34,43.01,46,51,9.9,9.6,7.77,0.125,0.012,2455012.0829,0.0034,68.9583216,3.9e-06,2016ApJS..225....9H,0.9
Kepler-410,6375,44.0,44.0,0.09,0.04,0.04,1.214,0.03,0.033,1.352,0.01,0.01,4.261,0.007,0.007,0.491,0.006,0.006,0.17,0.07,0.06,0.1226,0.0047,0.0047,,,,0.2532,0.0048,0.0048,,,,,,,,,,2014ApJ...782...14V,2014ApJ...782...14V,TEP,18,52,36.17,45,8,23.4,9.46,8.14,0.194,0.035,2455014.23765,0.00022,17.8336313,4.3e-06,2017MNRAS.469.2907G,
Kepler-411b,4906,48.0,51.0,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,,,,0.146,0.005,0.004,0.0375,0.0008,0.0008,0.081,0.008,0.008,0.214,0.005,0.005,,,,7.71,0.95,0.95,1138.0,17.0,17.0,2019A+A...624A..15S,2019A+A...624A..15S,TEP,19,10,25.35,49,31,23.7,12.55,10.06,0.082,0.068,2455135.3874,0.0003,3.005156,2e-06,2019A+A...624A..15S,0.574
Kepler-411c,4906,48.0,51.0,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,,,,0.108,0.003,0.004,0.0739,0.001,0.001,0.083,0.019,0.019,0.394,0.006,0.006,,,,1.18,0.29,0.29,838.0,10.0,10.0,2019A+A...624A..15S,2019A+A...624A..15S,TEP,19,10,25.35,49,31,23.7,12.55,10.06,0.1161,0.205,2454960.38763,0.00011,7.8344362,1.1e-06,2021MNRAS.503.4092B,0.62
Kepler-411d,4906,48.0,51.0,0.05,0.11,0.1,0.81,0.02,0.03,0.75,0.02,0.02,4.6,0.01,0.01,,,,0.128,0.003,0.003,0.279,0.004,0.004,0.048,0.016,0.016,0.296,0.009,0.009,,,,1.74,0.62,0.62,410.0,10.0,10.0,2019A+A...624A..15S,2019A+A...624A..15S,TEP,19,10,25.35,49,31,23.7,12.55,10.06,0.2362,0.13,2454984.8478,0.00055,58.020231,4.2e-05,2021MNRAS.503.4092B,0.7193
Kepler-412,5750,90.0,90.0,0.27,0.12,0.12,1.167,0.091,0.091,1.287,0.035,0.035,4.3,0.07,0.07,0.547,0.018,0.018,0.0038,0.0087,0.0032,0.02959,0.00078,0.00078,0.939,0.085,0.085,1.325,0.043,0.043,,,,0.378,0.038,0.038,,,,2014A+A...564A..56D,2014A+A...564A..56D,TEP,19,4,26.48,43,40,51.5,14.43,12.84,0.0865,1.1,2454966.02102,3e-05,1.72086125,5e-08,2021MNRAS.503.4092B,0.781
Kepler-413,4700,,,-0.2,,,0.82,0.015,0.015,0.776,0.01,0.009,4.572,0.01,0.01,1.244,0.046,0.035,0.1181,0.0018,0.0017,0.3553,0.002,0.0018,0.21,0.07,0.07,0.379,0.009,0.009,,,,2.4,0.8,0.8,,,,2014ApJ...784...14K,2014ApJ...784...14K,CBP,19,14,2.55,51,9,44.9,15.83,13.41,0.15,0.2,2455096.64,0.17,66.252,0.024,2014ApJ...784...14K,
Kepler-418,5820,100.0,100.0,-0.05,0.1,0.1,0.98,0.08,0.08,1.09,0.14,0.14,4.35,0.1,0.1,1.15,0.53,0.34,0.22,0.12,0.12,,,,,0.88,0.0,1.2,0.16,0.16,,,,,,,,,,2014A+A...567A..14T,2014A+A...567A..14T,TEP,19,37,44.04,38,21,19.6,14.84,13.1,0.4214,0.9,2455008.59734,0.00068,86.67857,8e-05,2014A+A...567A..14T,0.0
Kepler-419,6430,79.0,79.0,0.18,0.07,0.07,1.438,0.053,0.053,1.81,0.12,0.12,4.08,0.046,0.046,0.237,0.044,0.044,0.817,0.016,0.016,0.3745,0.0046,0.0046,2.77,0.19,0.19,1.12,0.084,0.084,53.8,8.8,7.6,1.83,0.47,0.47,,,,2014ApJ...791...89D,2018A+A...615A..90A,TEP,19,41,40.3,51,11,5.2,13.08,11.86,0.1595,0.44,2454959.33177,0.00054,69.796,0.0042,2018A+A...615A..90A,
Kepler-420,5520,80.0,80.0,0.27,0.09,0.09,0.99,0.05,0.05,1.13,0.14,0.14,4.32,0.1,0.1,0.7,0.25,0.25,0.772,0.045,0.045,0.382,0.006,0.006,1.45,0.35,0.35,0.94,0.12,0.12,,,,1.6,0.9,0.9,511.0,50.0,50.0,2014A+A...571A..37S,2014A+A...571A..37S,TEP,19,24,54.05,44,55,38.6,14.88,12.73,0.177,0.8,2455006.79454,0.0003,86.647661,3.4e-05,2014A+A...571A..37S,
Kepler-421,5308,50.0,50.0,-0.25,0.08,0.08,0.794,0.03,0.03,0.757,0.029,0.029,4.61,0.1,0.1,1.12,0.16,0.26,0.041,0.095,0.034,1.219,0.089,0.106,,0.428,0.0,0.371,0.017,0.014,,,,,,,185.0,9.0,5.0,2014ApJ...795...25K,2024ApJS..271...16D,TEP,18,53,1.63,45,5,16.0,13.56,11.54,0.658,0.3,2455325.7674,0.0012,704.1984,0.0016,2014ApJ...795...25K,0.21
Kepler-422,5972,84.0,84.0,0.23,0.09,0.09,1.15,0.06,0.06,1.24,0.12,0.12,4.31,0.073,0.073,0.61,0.16,0.16,0.0,,,0.082,0.011,0.01,0.43,0.13,0.13,1.15,0.11,0.11,,,,0.29,0.08,0.08,,,,2014ApJ...795..151E,2014ApJ...795..151E,TEP,18,50,31.12,46,19,24.1,13.55,12.04,0.1581,1.1,2455010.25005,0.0001,7.8914483,5e-07,2014ApJ...795..151E,0.416
Kepler-423,5560,80.0,80.0,-0.1,0.05,0.05,0.85,0.04,0.04,0.95,0.04,0.04,4.41,0.04,0.04,0.991,0.068,0.068,0.019,0.028,0.014,0.03585,0.00052,0.00114,0.595,0.081,0.081,1.192,0.052,0.052,,,,0.346,0.063,0.063,1605.0,120.0,120.0,2015A+A...576A..11G,2015A+A...576A..11G,TEP,19,31,25.38,46,23,28.2,14.42,12.78,0.1134,1.8,2454966.35481,2.1e-05,2.6843285,7e-08,2015A+A...576A..11G,0.11
Kepler-424,5460,81.0,81.0,0.44,0.14,0.14,1.01,0.054,0.054,0.94,0.056,0.056,4.5,0.05,0.05,1.23,0.21,0.21,0.0,,,0.044,0.005,0.004,1.03,0.13,0.13,0.89,0.08,0.06,,,,1.46,0.19,0.19,,,,2014ApJ...795..151E,2014ApJ...795..151E,TEP,19,54,29.97,48,34,38.8,14.45,12.47,0.0513,0.62,2454964.7427,0.002,3.3118644,4e-07,2014ApJ...795..151E,0.934
Kepler-425,5170,70.0,70.0,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.02,0.02,4.535,0.01,0.01,1.026,0.021,0.021,0.0,0.33,0.0,0.0464,0.0008,0.0008,0.25,0.08,0.08,0.978,0.022,0.022,,,,0.2,0.05,0.05,1070.0,15.0,15.0,2014A+A...572A..93H,2014A+A...572A..93H,TEP,19,21,25.93,40,34,3.9,14.95,12.81,0.098,1.5,2454966.508785,3.9e-05,3.79701816,1.9e-07,2014A+A...572A..93H,0.602
Kepler-426,5725,90.0,90.0,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.02,0.02,4.471,0.011,0.011,0.829,0.016,0.016,0.0,0.18,0.0,0.0414,0.001,0.001,0.34,0.08,0.08,1.09,0.03,0.03,,,,0.2,0.05,0.05,1300.0,20.0,20.0,2014A+A...572A..93H,2014A+A...572A..93H,TEP,19,17,44.31,49,28,24.2,14.99,13.21,0.0913,1.4,2454966.631964,4.7e-05,3.21751883,1.9e-07,2014A+A...572A..93H,0.718
Kepler-427,5800,70.0,70.0,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,4.14,0.12,0.12,0.28,0.14,0.14,0.0,0.57,0.0,0.091,0.01,0.01,0.29,0.09,0.09,1.23,0.21,0.21,,,,0.12,0.11,0.11,1100.0,70.0,70.0,2014A+A...572A..93H,2014A+A...572A..93H,TEP,19,13,1.1,43,42,17.5,14.31,12.78,0.1786,1.0,2454970.02207,9e-05,10.290994,1.1e-06,2014A+A...572A..93H,0.09
Kepler-428,5150,100.0,100.0,0.09,0.17,0.17,0.87,0.05,0.05,0.8,0.02,0.02,4.571,0.011,0.011,1.208,0.029,0.029,0.0,0.22,0.0,0.0433,0.0009,0.0009,1.27,0.19,0.19,1.08,0.03,0.03,,,,0.77,0.11,0.11,1070.0,25.0,25.0,2014A+A...572A..93H,2014A+A...572A..93H,TEP,19,22,19.61,40,34,38.6,15.47,13.23,0.1089,2.4,2455003.048008,3.2e-05,3.52563254,1.5e-07,2014A+A...572A..93H,0.13
Kepler-430b,5884,75.0,75.0,0.2,0.1,0.1,1.166,0.134,0.095,1.485,0.266,0.234,,,,,,,,,,0.2244,,,,,,0.29,,,,,,,,,667.0,,,2015AJ....149...55E,2015AJ....149...55E,TEP,19,31,14.08,49,34,46.0,13.97,12.39,0.1321,0.027,2454971.6774,0.006,35.968077,6.4e-06,2016ApJS..225....9H,
Kepler-430c,5884,75.0,75.0,0.2,0.1,0.1,1.166,0.134,0.095,1.485,0.266,0.234,,,,,,,,,,0.4757,,,,,,0.156,,,,,,,,,458.0,,,2015AJ....149...55E,2015AJ....149...55E,TEP,19,31,14.08,49,34,46.0,13.97,12.39,0.5013,0.014,2454980.0342,0.0016,110.979,0.003,2013ApJS..204...24B,
Kepler-431b,6004,75.0,75.0,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,,,,,,,,,,0.0719,,,,,,0.068,,,,,,,,,1032.0,,,2015AJ....149...55E,2015AJ....149...55E,TEP,18,44,26.96,43,13,40.1,12.08,10.65,0.1743,0.003,2455038.042,0.012,6.80273,0.00016,2013ApJS..204...24B,
Kepler-431c,6004,75.0,75.0,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,,,,,,,,,,0.0857,,,,,,0.06,,,,,,,,,951.0,,,2015AJ....149...55E,2015AJ....149...55E,TEP,18,44,26.96,43,13,40.1,12.08,10.65,0.1907,0.003,2455040.162,0.015,8.70295,0.00027,2013ApJS..204...24B,
Kepler-431d,6004,75.0,75.0,0.07,0.1,0.1,1.092,0.191,0.109,1.071,0.059,0.037,,,,,,,,,,0.1045,,,,,,0.099,,,,,,,,,856.0,,,2015AJ....149...55E,2015AJ....149...55E,TEP,18,44,26.96,43,13,40.1,12.08,10.65,0.2023,0.004,2455037.461,0.0088,11.92196,0.00021,2013ApJS..204...24B,
Kepler-432,5020,60.0,60.0,-0.02,0.06,0.06,1.32,0.1,0.07,4.06,0.12,0.08,3.345,0.028,0.022,0.0198,0.0004,0.0004,0.5134,0.0098,0.0089,0.301,0.016,0.011,5.41,0.32,0.18,1.145,0.036,0.039,96.0,11.0,11.0,3.36,0.28,0.22,942.0,20.0,20.0,2015A+A...573L...5C,2015ApJ...803...49Q,TEP,19,33,7.73,48,17,9.2,12.44,10.12,0.617,0.9,2455477.0291,0.0014,52.50097,0.00021,2015A+A...573L...5C,0.503
Kepler-433,6340,140.0,140.0,0.06,0.19,0.19,1.46,0.17,0.17,2.26,0.25,0.25,3.892,0.056,0.056,0.126,0.033,0.033,0.119,0.079,0.079,0.0679,0.0027,0.0027,2.82,0.52,0.52,1.45,0.16,0.16,33.0,5.9,6.8,0.85,0.24,0.24,1776.0,87.0,87.0,2015A+A...575A..71A,2015A+A...575A..71A,TEP,19,50,22.48,40,58,38.2,14.62,12.83,0.2564,0.5,2454964.98152,0.00015,5.33408384,1.1e-06,2015A+A...575A..71A,0.082
Kepler-434,5970,100.0,100.0,0.35,0.15,0.15,1.198,0.093,0.093,1.38,0.13,0.13,4.242,0.055,0.055,0.46,0.11,0.11,0.131,0.072,0.072,0.1143,0.003,0.003,2.86,0.35,0.35,1.13,0.26,0.18,55.0,19.0,23.0,1.8,1.0,1.0,1000.0,45.0,45.0,2015A+A...575A..71A,2015A+A...575A..71A,TEP,19,34,20.73,42,55,44.1,14.65,13.04,0.0953,0.4,2455003.02283,0.00042,12.8747099,5e-06,2015A+A...575A..71A,0.979
Kepler-435,6090,110.0,110.0,-0.17,0.1,0.1,1.538,0.088,0.088,3.21,0.3,0.3,3.613,0.047,0.07,0.047,0.011,0.011,0.114,0.077,0.077,0.0948,0.0018,0.0018,0.84,0.15,0.15,1.99,0.18,0.18,5.3,1.5,1.2,0.099,0.028,0.028,1729.0,70.0,70.0,2015A+A...575A..71A,2015A+A...575A..71A,TEP,19,29,8.96,43,11,50.2,13.77,12.29,0.3751,0.5,2455010.6424,0.0004,8.6001536,1.8e-06,2015A+A...575A..71A,0.448
Kepler-436b,4651,100.0,100.0,0.01,0.1,0.1,0.729,0.033,0.029,0.697,0.028,0.023,4.619,0.015,0.028,2.15,0.17,0.18,0.19,0.13,0.11,0.339,0.134,0.053,,,,0.244,0.021,0.021,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,20,6,52.98,44,24,43.4,16.24,13.33,0.195,0.11,2455477.6307,0.0042,64.00205,0.00072,2015ApJ...800...99T,0.09
Kepler-437b,4551,100.0,100.0,0.0,0.1,0.1,0.707,0.033,0.027,0.68,0.026,0.024,4.629,0.015,0.026,2.25,0.18,0.18,0.02,0.08,0.02,0.288,0.066,0.04,,,,0.191,0.02,0.015,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,19,49,23.37,44,1,37.0,14.73,11.85,0.233,0.05,2455670.6876,0.0023,66.65062,0.00033,2015ApJ...800...99T,0.56
Kepler-438b,3748,112.0,112.0,0.16,0.14,0.14,0.544,0.041,0.061,0.52,0.038,0.061,4.74,0.059,0.029,3.91,1.08,0.55,0.03,0.1,0.03,0.166,0.051,0.042,,,,0.1,0.014,0.015,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,18,46,34.99,41,57,3.9,15.16,11.2,0.145,0.04,2455673.0307,0.0044,35.23319,0.00025,2015ApJ...800...99T,0.9
Kepler-439b,5431,100.0,100.0,0.02,0.1,0.1,0.884,0.044,0.038,0.866,0.076,0.04,4.514,0.035,0.073,1.34,0.21,0.27,0.03,0.08,0.03,0.563,0.165,0.08,,,,0.2,0.014,0.04,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,18,43,12.38,44,2,2.4,14.73,12.92,0.4,0.07,2455399.3987,0.0039,178.1396,0.0016,2015ApJ...800...99T,0.1
Kepler-440b,4134,154.0,154.0,-0.3,0.15,0.15,0.575,0.043,0.047,0.559,0.029,0.054,4.706,0.049,0.016,3.37,0.73,0.34,0.34,0.12,0.19,0.242,0.066,0.041,,,,0.166,0.021,0.017,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,19,1,23.99,41,27,7.9,15.71,12.12,0.331,0.1,2455756.2986,0.0028,101.11141,0.00087,2015ApJ...800...99T,0.09
Kepler-441b,4340,177.0,177.0,-0.57,0.18,0.18,0.572,0.049,0.053,0.55,0.038,0.054,4.715,0.047,0.024,3.5,0.73,0.47,0.1,0.11,0.1,0.64,0.32,0.13,,,,0.146,0.02,0.021,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,18,58,16.06,49,0,45.2,15.62,12.29,0.252,0.1,2455667.7764,0.004,207.2482,0.0022,2015ApJ...800...99T,0.25
Kepler-442b,4402,100.0,100.0,-0.37,0.1,0.1,0.609,0.03,0.026,0.598,0.023,0.024,4.673,0.018,0.021,2.84,0.26,0.21,0.04,0.08,0.04,0.409,0.209,0.06,,,,0.12,0.01,0.016,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,19,1,27.98,39,16,48.3,15.33,12.49,0.234,0.06,2455849.5578,0.0067,112.3053,0.0024,2015ApJ...800...99T,0.22
Kepler-443b,4723,100.0,100.0,-0.01,0.1,0.1,0.738,0.033,0.029,0.706,0.028,0.024,4.614,0.016,0.029,2.1,0.17,0.18,0.11,0.15,0.11,0.495,0.186,0.075,,,,0.208,0.017,0.02,,,,,,,,,,2015ApJ...800...99T,2015ApJ...800...99T,TEP,19,14,26.53,49,58,7.1,16.18,13.81,0.373,0.09,2455630.246,0.0076,177.6693,0.0031,2015ApJ...800...99T,0.26
Kepler-444b,5172,75.0,75.0,-0.52,0.12,0.12,0.758,0.043,0.043,0.752,0.014,0.014,4.5625,0.0095,0.0095,1.768,0.02,0.02,0.16,0.21,0.1,0.04178,0.0079,0.0079,,0.0003,0.0,0.036,0.0014,0.0013,,,,,,,,,,2015ApJ...799..170C,2022A+A...667A.128S,TEP,19,19,0.55,41,38,4.6,9.17,6.7,0.0852,0.003,2454966.2599,0.0018,3.6001053,8.2e-06,2015ApJ...799..170C,0.4
Kepler-444c,5172,75.0,75.0,-0.52,0.12,0.12,0.758,0.043,0.043,0.752,0.014,0.014,4.5625,0.0095,0.0095,1.768,0.02,0.02,0.31,0.12,0.15,0.04881,0.0093,0.0093,,0.0007,0.0,0.0443,0.0019,0.0015,,,,,,,,,,2015ApJ...799..170C,2022A+A...667A.128S,TEP,19,19,0.55,41,38,4.6,9.17,6.7,0.0724,0.004,2454964.522,0.0013,4.548841,7.1e-05,2015ApJ...799..170C,0.42
Kepler-444d,5172,75.0,75.0,-0.52,0.12,0.12,0.758,0.043,0.043,0.752,0.014,0.014,4.5625,0.0095,0.0095,1.768,0.02,0.02,0.18,0.16,0.12,0.06,0.0011,0.0011,0.0001,0.0002,0.0001,0.0473,0.002,0.0017,,,,,,,,,,2015ApJ...799..170C,2022A+A...667A.128S,TEP,19,19,0.55,41,38,4.6,9.17,6.7,0.0921,0.005,2454967.7869,0.0015,6.189392,1.2e-05,2015ApJ...799..170C,0.53
Kepler-444e,5172,75.0,75.0,-0.52,0.12,0.12,0.758,0.043,0.043,0.752,0.014,0.014,4.5625,0.0095,0.0095,1.768,0.02,0.02,0.1,0.2,0.06,0.0696,0.0013,0.0013,0.0001,0.0002,0.0001,0.0487,0.0015,0.0013,,,,,,,,,,2015ApJ...799..170C,2022A+A...667A.128S,TEP,19,19,0.55,41,38,4.6,9.17,6.7,0.1161,0.005,2454968.0927,0.0018,7.743493,1.7e-05,2015ApJ...799..170C,0.29
Kepler-444f,5046,75.0,75.0,-0.52,0.12,0.12,0.758,0.043,0.043,0.752,0.014,0.014,4.5625,0.0095,0.0095,1.768,0.02,0.02,0.29,0.2,0.19,0.0811,0.0015,0.0015,,0.0024,0.0,0.0661,0.0037,0.0036,,,,,,,,,,2015ApJ...799..170C,2022A+A...667A.128S,TEP,19,19,0.55,41,38,4.6,9.17,6.7,0.0705,0.008,2454937.8791,0.0011,9.740486,1.3e-05,2015ApJ...799..170C,0.79
