Planet,Teff,Teff_err_up,Teff_err_dn,[Fe/H],[Fe/H]_err_up,[Fe/H]_err_dn,M*,M*_err_up,M*_err_dn,R*,R*_err_up,R*_err_dn,logg*,logg*_err_up,logg*_err_dn,rho*,rho*_err_up,rho*_err_dn,e,e_err_up,e_err_dn,a (AU),a_err_up,a_err_dn,Mp,Mp_err_up,Mp_err_dn,Rp,Rp_err_up,Rp_err_dn,gp,gp_err_up,gp_err_dn,rhop,rhop_err_up,rhop_err_dn,Teq,Teq_err_up,Teq_err_dn,Discovery_Reference,Recent_Reference,Type,RA:HH,RA:MM,RA:SS,Dec:DD,Dec:MM,Dec:SS,Vmag,Kmag,T14,Depth,T0 (HJD or BJD),T0_err,P (day),P_err,Ephemeris_Reference,Impact Parameter,Depth_Calc,Bmag,Rmag,Imag,Kmag_Calc
K2-146c,3385,70.0,70.0,-0.02,0.12,0.12,0.331,0.009,0.009,0.33,0.01,0.01,4.906,0.041,0.041,9.3,0.8,0.8,0.075,0.016,0.016,,,,0.0236,0.0003,0.0003,0.195,0.006,0.006,,,,,,,,,,2018AJ....156..277L,arXiv:1907.10620,TEP,8,40,6.42,19,5,34.4,16.25,11.37,0.03,0.15,2458204.1316,0.0007,4.00498,0.00011,arXiv:1907.10620,0.950927532,0.0036873318918859707,17.588288815764482,14.965288815764481,13.624288815764482,11.444288815764482
K2-155b,3919,70.0,70.0,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,,,0.0546,0.0019,0.0019,,,,0.138,0.018,0.015,,,,,,,708.0,38.0,31.0,arXiv:1801.06249,2018AJ....155..124H,TEP,4,21,52.49,21,21,13.0,12.81,9.5,0.1004,0.068,2457825.068,0.002,6.34365,0.00028,2018AJ....155..124H,0.34,0.0007268713833169825,14.143716951160188,11.82171695116019,10.915716951160189,8.986716951160188
K2-155c,3919,70.0,70.0,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,,,0.092,0.0032,0.0032,,,,0.174,0.024,0.02,,,,,,,583.0,52.0,38.0,arXiv:1801.06249,2018AJ....155..124H,TEP,4,21,52.49,21,21,13.0,12.81,9.5,0.147,0.1,2457828.426,0.002,13.85402,0.00088,2018AJ....155..124H,0.45,0.0011555743541958074,14.143716951160188,11.82171695116019,10.915716951160189,8.986716951160188
K2-155d,3919,70.0,70.0,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,0.0,,,0.1886,0.0066,0.0066,,,,0.146,0.016,0.016,,,,,,,381.0,47.0,25.0,arXiv:1801.06249,2018AJ....155..124H,TEP,4,21,52.49,21,21,13.0,12.81,9.5,0.186,0.074,2457823.5,0.003,40.6835,0.0031,2018AJ....155..124H,0.44,0.0008135890782810749,14.143716951160188,11.82171695116019,10.915716951160189,8.986716951160188
K2-168b,5503,101.0,51.0,,,,0.877,0.06,0.029,0.83,0.087,0.043,,,,,,,,,,,,,,,,0.166,0.021,0.01,,,,,,,766.0,16.0,8.0,2018AJ....155..136M,2019ApJ...880L...5H,TEP,22,12,26.37,-16,20,30.3,12.29,10.55,0.17,0.05,2456975.0377,0.0023,15.8523,0.0019,2019ApJ...880L...5H,0.32,0.00042240677767403786,12.940716951160187,11.799716951160187,11.417716951160187,10.435716951160186
K2-168c,5503,101.0,51.0,,,,0.877,0.06,0.029,0.83,0.087,0.043,,,,,,,,,,,,,,,,0.117,0.013,0.006,,,,,,,961.0,21.0,10.0,2019ApJ...880L...5H,2019ApJ...880L...5H,TEP,22,12,26.37,-16,20,30.3,12.29,10.55,0.16,0.02,2456973.7648,0.01,8.050722,5.7e-05,2019ApJ...880L...5H,,0.00020983910507983393,12.940716951160187,11.799716951160187,11.417716951160187,10.435716951160186
K2-180,5110,107.0,107.0,-0.65,0.1,0.1,0.71,0.03,0.03,0.69,0.02,0.02,4.3,0.2,0.2,2.15,0.28,0.28,0.0,,,0.075,0.001,0.001,0.036,0.006,0.006,0.2,0.011,0.011,,,,4.2,1.4,1.4,729.0,49.0,49.0,arXiv:1810.04601,arXiv:1810.04601,TEP,8,25,51.35,10,14,49.1,12.6,10.68,0.07,0.1,2457143.39,0.002,8.8665,0.0003,arXiv:1810.04601,0.42,0.0008872228054485148,13.360716951160187,12.053716951160187,11.630716951160187,10.479716951160187
K2-182,5710,100.0,100.0,0.12,0.06,0.06,0.865,0.016,0.018,0.793,0.013,0.011,4.61,0.1,0.1,,,,0.04,0.19,0.03,0.0526,0.0003,0.0003,0.063,0.016,0.016,0.24,0.006,0.004,,,,4.2,1.1,1.1,969.0,20.0,20.0,2018AJ....155..136M,arXiv:2110.05502,TEP,8,40,43.28,10,58,58.6,12.0,9.91,0.1067,0.13,2457719.11517,0.00028,4.7369683,2.3e-06,arXiv:2110.05502,0.2,0.0009672683901073459,12.574716951160188,11.545716951160188,11.191716951160188,10.323716951160188
K2-198b,5213,99.0,49.0,,,,0.799,0.091,0.045,0.757,0.035,0.016,,,,,,,,,,,,,,,,0.374,0.02,0.009,,,,,,,716.0,19.0,9.0,2018AJ....155..136M,2019ApJ...880L...5H,TEP,13,15,22.54,-6,27,53.6,10.97,9.23,0.17,0.28,2457204.5687,0.0014,17.0428683,5.3e-06,2019ApJ...880L...5H,0.661,0.0025776404126843307,11.730716951160188,10.423716951160188,10.000716951160188,8.849716951160188
K2-198c,5213,99.0,49.0,,,,0.799,0.091,0.045,0.757,0.035,0.016,,,,,,,,,,,,,,,,0.127,0.007,0.003,,,,,,,1230.0,32.0,16.0,2019ApJ...880L...5H,2019ApJ...880L...5H,TEP,13,15,22.54,-6,27,53.6,10.97,9.23,0.07,0.02,2457215.032,0.0018,3.3596055,3.1e-06,2019ApJ...880L...5H,0.715,0.0002972258444349679,11.730716951160188,10.423716951160188,10.000716951160188,8.849716951160188
K2-198d,5213,99.0,49.0,,,,0.799,0.091,0.045,0.757,0.035,0.016,,,,,,,,,,,,,,,,0.218,0.012,0.005,,,,,,,943.0,25.0,12.0,2019ApJ...880L...5H,2019ApJ...880L...5H,TEP,13,15,22.54,-6,27,53.6,10.97,9.23,0.13,0.1,2457213.5759,0.001,7.4500177,3.9e-06,2019ApJ...880L...5H,0.047,0.0008757741354657707,11.730716951160188,10.423716951160188,10.000716951160188,8.849716951160188
K2-199b,4491,100.0,100.0,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,,,,,,,0.02,0.03,0.02,0.0382,0.0004,0.0004,0.022,0.006,0.006,0.154,0.005,0.004,,,,5.4,1.6,1.5,913.0,23.0,23.0,2018AJ....155..136M,arXiv:2110.05502,TEP,13,55,36.41,-6,8,10.1,12.29,10.28,0.084,0.08,2457218.73733,0.00053,3.2253993,2.4e-06,arXiv:2110.05502,0.25,0.0005384477655054073,13.337716951160187,11.532716951160188,10.957716951160187,9.368716951160186
K2-199c,4491,100.0,100.0,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,,,,,,,0.03,0.06,0.03,0.0662,0.0007,0.0007,0.039,0.007,0.007,0.254,0.009,0.008,,,,2.2,0.5,0.5,694.0,17.0,17.0,2018AJ....155..136M,arXiv:2110.05502,TEP,13,55,36.41,-6,8,10.1,12.29,10.28,0.1022,0.18,2457222.93034,0.00035,7.3744897,3.7e-06,arXiv:2110.05502,0.49,0.0014647704519879768,13.337716951160187,11.532716951160188,10.957716951160187,9.368716951160186
K2-216,4503,140.0,140.0,0.0,0.12,0.21,0.7,0.03,0.03,0.72,0.05,0.05,4.57,0.09,0.09,1.6,0.6,1.0,0.0,,,0.028,0.004,0.007,0.023,0.007,0.007,0.16,0.02,0.01,,,,5.7,2.3,2.2,1103.0,163.0,64.0,arXiv:1805.04774,arXiv:1805.04774,TEP,0,45,55.26,6,20,49.1,12.48,9.86,0.0766,0.06,2457394.04186,0.00094,2.17479,5e-05,arXiv:1805.04774,0.45,0.0005214898489802936,13.527716951160189,11.722716951160189,11.147716951160188,9.558716951160187
K2-222,5942,119.0,119.0,-0.315,0.06,0.06,0.94,0.05,0.05,1.072,0.043,0.043,4.35,0.02,0.02,0.76,0.05,0.04,0.16,0.09,0.1,,,,0.025,0.006,0.006,0.21,0.007,0.006,14.2,3.3,3.3,2.6,0.6,0.6,878.0,17.0,16.0,2018AJ....155..136M,arXiv:2111.02608,TEP,1,5,50.95,11,45,12.3,9.54,8.11,0.1836,0.04,2457399.0595,0.0016,15.38857,0.00088,arXiv:2111.02608,0.41,0.00040524709044472134,10.049716951160187,9.117716951160187,8.789716951160187,8.013716951160188
K2-229b,5185,32.0,32.0,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,,,0.01288,0.00013,0.00013,0.0078,0.0013,0.0014,0.1068,0.004,0.0043,,,,6.0,1.7,1.7,1960.0,40.0,40.0,2018NatAs...2..393S,arXiv:1908.06299,TEP,12,27,29.58,-6,43,18.8,10.98,9.05,0.04,0.02,2457583.4691,0.0012,0.584249,1.4e-05,2018NatAs...2..393S,0.38,0.0001974746370578085,11.740716951160188,10.433716951160187,10.01071695116019,8.85971695116019
K2-229c,5185,32.0,32.0,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,,,0.07577,0.00076,0.00076,,0.067,0.0,0.189,0.01,0.007,,,,0.0,9.6,0.0,800.0,20.0,20.0,2018NatAs...2..393S,arXiv:1908.06299,TEP,12,27,29.58,-6,43,18.8,10.98,9.05,0.05,0.06,2457586.3431,0.0019,8.32834,0.00045,2018NatAs...2..393S,0.39,0.0006184326746010937,11.740716951160188,10.433716951160187,10.01071695116019,8.85971695116019
K2-229d,5185,32.0,32.0,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.0,,,0.182,0.0042,0.0042,,0.079,0.0,0.236,0.021,0.021,,,,0.0,7.2,0.0,522.0,13.0,13.0,2018NatAs...2..393S,arXiv:1908.06299,TEP,12,27,29.58,-6,43,18.8,10.98,9.05,0.07,0.1,2457623.1,0.5,31.0,1.1,2018NatAs...2..393S,0.933733867,0.00096425705452206,11.740716951160188,10.433716951160187,10.01071695116019,8.85971695116019
K2-231,5695,50.0,50.0,0.14,0.04,0.04,1.01,0.03,0.03,0.95,0.03,0.03,4.48,0.03,0.03,,,,0.0,,,,,,,,,0.22,0.02,0.02,,,,,,,,,,2018AJ....155..173C,2018AJ....155..173C,TEP,19,16,22.04,-15,46,16.4,12.7,10.86,0.123,0.07,2457320.0016,0.0035,13.8419,0.0013,2018AJ....155..173C,0.55,0.0005663293085712863,13.287716951160187,12.239716951160187,11.880716951160187,10.992716951160187
K2-232,6154,60.0,60.0,0.1,0.04,0.04,1.118,0.028,0.026,1.161,0.024,0.024,4.379,0.017,0.017,,,,0.258,0.025,0.025,0.10356,0.00081,0.00077,0.398,0.037,0.037,1.0,0.022,0.02,,,,,,,1030.0,15.0,15.0,2018MNRAS.477.2572B,2018MNRAS.477.2572B,TEP,4,55,3.96,18,39,16.3,9.9,8.43,0.20802,0.79,2457825.349782,9.3e-05,11.168454,2.3e-05,2018MNRAS.477.2572B,0.041,0.00783441273030908,10.343716951160188,9.513716951160188,9.214716951160188,8.523716951160187
K2-233b,5033,41.0,35.0,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.079,0.048,0.029,0.03308,0.0001,9e-05,0.01,0.009,0.007,0.1198,0.0016,0.0014,,,,5.7,5.1,3.8,1121.0,10.0,9.0,2018AJ....155..222D,arXiv:2006.01102,TEP,15,21,55.2,-20,13,54.0,10.73,8.38,0.0828,0.018,2457791.691,0.0026,2.4675,4e-05,arXiv:2006.01102,0.2,0.00030065458090899124,11.536716951160189,10.156716951160188,9.714716951160188,8.488716951160189
K2-233c,5033,41.0,35.0,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.07,0.045,0.035,0.06666,0.0002,0.00018,0.016,0.01,0.009,0.1143,0.002,0.0019,,,,10.0,6.4,5.7,790.0,7.0,6.0,2018AJ....155..222D,arXiv:2006.01102,TEP,15,21,55.2,-20,13,54.0,10.73,8.38,0.1165,0.015,2457996.3522,0.0057,7.06005,0.00026,arXiv:2006.01102,0.36,0.00027368226159763394,11.536716951160189,10.156716951160188,9.714716951160188,8.488716951160189
K2-233d,5033,41.0,35.0,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,0.062,0.043,0.042,0.15224,0.00046,0.00042,0.026,0.016,0.015,0.2104,0.0038,0.0032,,,,2.6,1.7,1.5,523.0,5.0,4.0,2018AJ....155..222D,arXiv:2006.01102,TEP,15,21,55.2,-20,13,54.0,10.73,8.38,0.1599,0.12,2458005.5801,0.0025,24.3645,0.00068,arXiv:2006.01102,0.5,0.0009273542362209252,11.536716951160189,10.156716951160188,9.714716951160188,8.488716951160189
K2-234,5499,73.0,73.0,0.45,0.04,0.04,1.12,0.04,0.01,1.657,0.02,0.004,4.044,0.006,0.004,0.243,0.002,0.002,0.203,0.031,0.031,0.105,0.0013,0.0013,0.112,0.01,0.01,0.612,0.012,0.012,,,,0.459,0.051,0.051,1053.0,14.0,14.0,arXiv:1803.02858,arXiv:1805.01860,TEP,10,18,41.06,10,7,44.5,9.38,7.72,0.2362,0.14,2457913.8049,0.0011,11.81433,0.0002,arXiv:1803.02858,,0.0014405512516088622,10.030716951160189,8.889716951160189,8.507716951160189,7.525716951160189
K2-237,6099,110.0,110.0,0.0,0.08,0.08,1.22,0.53,0.05,1.34,0.03,0.03,4.24,0.1,0.1,0.102,0.012,0.01,0.0,,,0.0352,0.001,0.001,1.231,0.043,0.043,1.57,0.054,0.054,,,,0.318,0.035,0.035,1817.0,36.0,36.0,arXiv:1801.07959,arXiv:1807.05865,TEP,16,55,4.53,-28,42,38.0,11.6,10.22,0.126,1.5,2457782.93422,0.00014,2.1805358,1e-06,arXiv:2005.01684,0.52,0.014496414378045443,12.065716951160187,11.201716951160188,10.893716951160188,10.173716951160188
K2-265,5477,27.0,27.0,0.078,0.02,0.02,0.915,0.017,0.017,0.977,0.053,0.053,4.419,0.053,0.053,0.98,0.19,0.19,0.084,0.079,0.079,0.03376,0.00021,0.00021,0.0206,0.0026,0.0026,0.153,0.01,0.01,,,,5.4,1.4,1.4,,,,arXiv:1809.08869,arXiv:1809.08869,TEP,22,48,7.56,-14,29,40.8,11.1,9.26,0.0944,0.03,2456981.6431,0.0016,2.369172,8.9e-05,arXiv:1809.08869,0.3,0.00025897904250608286,11.750716951160188,10.609716951160188,10.227716951160188,9.245716951160187
K2-280,5500,100.0,100.0,0.33,0.08,0.08,1.03,0.03,0.03,1.28,0.07,0.07,4.31,0.05,0.05,0.57,0.11,0.09,0.35,0.05,0.04,0.1461,0.0099,0.0097,0.117,0.018,0.018,0.669,0.039,0.039,6.5,1.1,1.0,0.36,0.1,0.08,787.0,17.0,17.0,2018AJ....156..277,arXiv:2007.07939,TEP,19,26,22.88,-22,14,51.6,12.54,10.77,0.3445,0.32,2457307.58114,0.00056,19.89526,0.00028,arXiv:2007.07939,0.45,0.002884716794167634,13.190716951160187,12.049716951160187,11.667716951160187,10.685716951160186
K2-286,3926,100.0,100.0,0.0,0.5,0.5,0.64,0.02,0.02,0.62,0.02,0.02,4.7,0.2,0.2,,,,,,,0.177,0.018,0.021,,,,0.188,0.018,0.018,,,,,,,347.0,21.0,11.0,arXiv:1901.04739,arXiv:1901.04739,TEP,15,33,28.7,-16,46,23.7,12.76,9.32,0.125,0.14,2458010.317,0.002,27.359,0.005,arXiv:1901.04739,0.35,0.0009709641746950568,14.053716951160188,11.816716951160188,11.009716951160188,9.129716951160187
K2-287,5625,64.0,64.0,0.27,0.04,0.04,1.03,0.04,0.04,1.1,0.01,0.01,4.32,0.11,0.11,,,,0.478,0.025,0.026,0.1204,0.0008,0.0011,0.31,0.03,0.03,0.88,0.01,0.01,,,,,,,808.0,7.0,9.0,2019AJ....157..100J,arXiv:2106.11331,TEP,15,32,17.84,-22,21,29.7,11.41,9.19,0.17,0.7,2458001.72138,0.00016,14.893291,2.5e-05,2019AJ....157..100J,0.790876749,0.006758508442784606,12.027716951160189,10.935716951160188,10.565716951160189,9.632716951160187
K2-290b,6302,120.0,120.0,-0.06,0.1,0.1,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.1,0.1,0.344,0.052,0.045,0.0,,,0.0923,0.0066,0.0066,,0.0664,0.0,0.273,0.014,0.014,,,,,,,1230.0,38.0,38.0,2019MNRAS.484.3522H,2021PNAS..11820174H,TEP,15,39,25.87,-20,11,55.7,11.11,9.42,0.207,0.04,2457994.7721,0.0015,9.2117,0.0002,2021PNAS..11820174H,0.438,0.0003447206119744461,11.507716951160187,10.747716951160188,10.470716951160187,9.838716951160187
K2-290c,6302,120.0,120.0,-0.06,0.1,0.1,1.194,0.067,0.077,1.511,0.075,0.072,4.23,0.1,0.1,0.344,0.052,0.045,0.0,0.241,0.0,0.305,0.017,0.017,0.774,0.047,0.047,1.006,0.05,0.05,,,,0.76,0.12,0.12,676.0,16.0,16.0,2019MNRAS.484.3522H,2021PNAS..11820174H,TEP,15,39,25.87,-20,11,55.7,11.11,9.42,0.339,0.5,2458019.1723,0.0003,48.3674,0.0003,2021PNAS..11820174H,0.474,0.004680992221285278,11.507716951160187,10.747716951160188,10.470716951160187,9.838716951160187
K2-291,5520,60.0,60.0,0.08,0.04,0.04,0.926,0.046,0.048,0.904,0.012,0.012,4.5,0.05,0.05,1.26,0.09,0.1,0.0,,,0.03261,0.00044,0.00044,0.0201,0.0035,0.0035,0.1411,0.0033,0.0037,,,,6.7,1.7,1.7,,,,arXiv:1901.04558,arXiv:1908.06299,TEP,5,5,46.99,21,32,55.0,10.01,8.35,0.0716,0.03,2457830.0616,0.001,2.225177,6.7e-05,arXiv:1901.04558,0.646,0.0002572693523540817,10.636716951160187,9.530716951160187,9.157716951160188,8.211716951160188
K2-293,5532,78.0,78.0,0.218,0.08,0.08,0.958,0.036,0.034,0.947,0.089,0.055,4.52,0.13,0.13,,,,,,,,,,,,,0.219,0.031,0.022,,,,,,,750.0,170.0,50.0,arXiv:1903.10507,arXiv:1903.10507,TEP,23,26,25.52,-6,1,40.4,13.34,11.54,0.166,0.06,2457749.1347,0.0034,13.1225,0.0012,arXiv:1903.10507,0.47,0.0005647537955134406,13.954058669528383,12.848058669528383,12.475058669528384,11.529058669528384
K2-294,5612,50.0,50.0,0.194,0.08,0.08,0.987,0.034,0.03,1.2,0.13,0.12,4.2,0.1,0.1,,,,,,,,,,,,,0.148,0.019,0.017,,,,,,,1425.0,79.0,54.0,arXiv:1903.10507,arXiv:1903.10507,TEP,23,28,12.4,-7,36,13.3,12.5,10.86,0.108,0.02,2457740.0093,0.0043,2.50387,0.00023,arXiv:1903.10507,0.51,0.00016063191073215495,13.117716951160189,12.025716951160188,11.655716951160189,10.722716951160187
KELT-02,6151,48.0,48.0,0.034,0.078,0.078,1.314,0.063,0.06,1.836,0.066,0.046,4.03,0.015,0.026,,,,0.0,,,0.05504,0.00086,0.00086,1.524,0.088,0.088,1.29,0.064,0.05,,,,,,,1712.0,28.0,20.0,2012ApJ...756L..39B,2012ApJ...756L..39B,TEP,6,10,39.35,30,57,25.7,8.7,7.35,0.2156,0.5,2455974.60338,0.00082,4.1137913,1e-05,2012ApJ...756L..39B,0.16,0.005213206805604254,9.143716951160187,8.313716951160186,8.014716951160187,7.323716951160187
KELT-03,6306,50.0,49.0,0.044,0.08,0.082,1.278,0.062,0.061,1.472,0.065,0.067,4.209,0.033,0.031,0.4,0.05,0.042,0.0,,,0.04122,0.00066,0.00067,1.477,0.066,0.064,1.345,0.072,0.072,20.2,2.2,1.8,0.57,0.09,0.08,1811.0,43.0,44.0,2013ApJ...773...64P,2013ApJ...773...64P,TEP,9,54,34.39,40,23,17.0,9.82,8.66,0.11419,1.0,2456023.48038,0.00025,2.70339216,9e-07,arXiv:1812.05882,0.611,0.00881657355996002,10.217716951160188,9.457716951160188,9.180716951160187,8.548716951160188
KELT-04,6206,75.0,75.0,-0.116,0.065,0.069,1.201,0.067,0.061,1.603,0.039,0.038,4.108,0.014,0.014,0.291,0.012,0.012,0.0,0.138,0.0,0.04317,0.00079,0.00074,0.902,0.06,0.059,1.699,0.046,0.045,7.74,0.53,0.52,0.172,0.014,0.014,1823.0,27.0,27.0,2016AJ....151...45E,2016AJ....151...45E,TEP,10,28,15.01,25,34,23.5,9.98,8.69,0.1443,1.3,2456193.29157,0.00021,2.9895936,4.8e-06,2016AJ....151...45E,0.689,0.011862892631142085,10.403716951160188,9.60371695116019,9.314716951160188,8.649716951160189
KELT-06,6246,88.0,88.0,-0.22,0.06,0.06,1.11,0.06,0.06,1.34,0.06,0.06,4.22,0.09,0.09,,,,0.22,0.12,0.1,0.07939,0.001,0.00099,0.44,0.02,0.02,1.02,0.05,0.05,,,,0.2,0.03,0.03,1313.0,59.0,38.0,2014AJ....147...39C,arXiv:2106.11331,TEP,13,3,55.65,30,38,24.3,10.42,9.08,0.243,0.6,2457124.50954,0.00057,7.845582,7e-06,2015A+A...581L...6D,0.2,0.0061187348447882175,10.843716951160188,10.043716951160189,9.754716951160187,9.089716951160188
KELT-07,6789,50.0,49.0,0.139,0.075,0.081,1.535,0.066,0.054,1.732,0.043,0.045,4.149,0.019,0.019,0.297,0.019,0.018,0.0,,,0.04415,0.00062,0.00052,1.28,0.18,0.18,1.533,0.046,0.047,13.5,2.0,2.0,0.333,0.055,0.051,2048.0,27.0,27.0,2015AJ....150...12B,2015AJ....150...12B,TEP,5,13,10.93,33,19,5.4,8.54,7.54,0.1463,0.8,2456355.22981,0.0002,2.73476468,4.6e-07,arXiv:1901.07040,0.597,0.008272931359783122,8.827716951160188,8.240716951160188,8.021716951160187,7.528716951160187
KELT-08,5754,54.0,55.0,0.272,0.038,0.038,1.211,0.078,0.066,1.67,0.14,0.12,4.078,0.049,0.054,0.262,0.052,0.048,0.035,0.05,0.025,0.04571,0.00096,0.00084,0.867,0.065,0.061,1.86,0.18,0.16,6.2,1.1,1.0,0.126,0.035,0.029,1675.0,61.0,55.0,2015ApJ...810...30F,2015ApJ...810...30F,TEP,18,53,13.32,24,7,38.5,10.83,9.18,0.1444,1.3,2457396.04496,0.00055,3.2440796,4.8e-06,arXiv:1812.05882,0.763,0.013099774893695558,11.393716951160188,10.380716951160188,10.030716951160189,9.179716951160188
KELT-09,9600,400.0,400.0,0.14,0.3,0.3,2.32,0.16,0.16,2.418,0.058,0.058,4.037,0.038,0.04,0.164,0.018,0.018,0.0,0.035,0.0,0.03368,0.00078,0.00078,2.88,0.35,0.35,1.936,0.047,0.047,19.0,2.5,2.4,0.37,0.054,0.05,3921.0,182.0,174.0,2017Natur.546..514G,arXiv:1907.10078,TEP,20,31,26.35,39,56,19.8,7.56,7.48,0.15949,0.68,2458566.43656,4.8e-05,1.4811189,1.6e-07,arXiv:2201.04154,,0.006769693394852187,7.4737169511601875,7.472716951160187,7.469716951160188,7.432716951160187
KELT-10,5948,74.0,74.0,0.09,0.11,0.1,1.112,0.055,0.061,1.209,0.047,0.035,4.319,0.02,0.03,0.889,0.062,0.088,0.0,0.07,0.0,0.0525,0.00086,0.00097,0.679,0.039,0.038,1.399,0.069,0.049,8.57,0.66,0.77,0.232,0.025,0.03,1377.0,28.0,23.0,2016MNRAS.459.4281K,2016MNRAS.459.4281K,TEP,18,58,11.6,-47,0,11.7,10.7,9.34,0.156,1.4,2457066.72045,0.00027,4.1662739,6.3e-06,2016MNRAS.459.4281K,0.23,0.014140140148062478,11.209716951160187,10.277716951160187,9.949716951160188,9.173716951160188
KELT-11,5375,25.0,25.0,0.17,0.07,0.07,1.44,0.07,0.07,2.69,0.04,0.04,3.7,0.1,0.1,0.074,0.002,0.002,0.007,0.002,0.006,0.06229,0.00088,0.00076,0.171,0.015,0.015,1.35,0.1,0.1,2.55,0.52,0.46,0.07,0.021,0.018,1712.0,51.0,46.0,2017AJ....153..215P,2017AJ....154...25B,TEP,10,46,49.74,-9,23,56.5,8.03,6.12,0.2974,0.22,2458260.168608,3e-05,4.73620495,8.6e-07,arXiv:2010.01310,0.36,0.002659707412525165,8.720716951160187,7.520716951160187,7.123716951160187,6.0827169511601875
KELT-15,6003,56.0,52.0,0.047,0.032,0.032,1.181,0.051,0.05,1.481,0.091,0.041,4.234,0.045,0.041,0.457,0.078,0.061,0.0,0.39,0.0,0.04613,0.00065,0.00065,1.196,0.072,0.072,1.52,0.12,0.11,12.8,2.1,1.8,0.317,0.083,0.063,1904.0,54.0,54.0,2016AJ....151..138R,2016AJ....151..138R,TEP,7,49,39.61,-52,7,13.6,11.44,9.85,0.1719,1.2,2458544.07707,0.00018,3.329472,6e-06,arXiv:2012.07478,0.2,0.011123666135420675,11.905716951160187,11.041716951160188,10.733716951160188,10.013716951160188
KELT-16,6237,55.0,54.0,-0.0,0.085,0.081,1.195,0.044,0.044,1.315,0.018,0.018,4.278,0.008,0.008,0.526,0.01,0.01,0.0,0.175,0.0,0.02035,0.00025,0.00025,2.71,0.16,0.16,1.383,0.025,0.025,35.1,2.0,2.0,0.968,0.062,0.062,2417.0,22.0,22.0,2017AJ....153...97O,arXiv:2105.00889,TEP,20,57,4.44,31,39,39.6,11.9,10.64,0.1037,1.3,2457927.48079,0.00012,0.9689934,1.8e-07,arXiv:2105.00889,,0.011680562060787028,12.323716951160188,11.52371695116019,11.234716951160188,10.569716951160189
KELT-17,7454,49.0,49.0,-0.018,0.074,0.072,1.635,0.066,0.061,1.645,0.06,0.055,4.22,0.022,0.024,0.367,0.032,0.03,0.0,0.39,0.0,0.04881,0.00065,0.00061,1.31,0.28,0.29,1.525,0.065,0.06,13.9,3.2,3.1,0.35,0.09,0.08,2087.0,32.0,33.0,2016AJ....152..136Z,2016AJ....152..136Z,TEP,8,22,28.21,13,44,7.2,9.29,8.65,0.1448,1.0,2457226.14219,0.00033,3.0801718,5.3e-06,2016AJ....152..136Z,,0.00907567153230462,9.458716951160188,9.060716951160186,8.909716951160187,8.565716951160187
KELT-18,6670,120.0,120.0,0.09,0.13,0.13,1.524,0.069,0.068,1.908,0.042,0.035,4.06,0.01,0.014,0.22,0.005,0.01,0.0,0.27,0.0,0.0455,0.00067,0.00069,1.18,0.11,0.11,1.57,0.042,0.036,11.8,1.1,1.1,0.284,0.03,0.03,2085.0,39.0,38.0,2017AJ....153..263M,2017AJ....153..263M,TEP,14,26,5.78,59,26,39.2,10.21,9.21,0.1935,0.85,2457542.52463,0.00057,2.8716992,1.3e-06,2020AcA....70..181M,0.102,0.007150121978192451,10.53571695116019,9.887716951160188,9.64771695116019,9.10671695116019
KELT-19,7500,110.0,110.0,-0.12,0.51,0.51,1.62,0.25,0.2,1.83,0.099,0.099,4.127,0.029,0.029,0.266,0.022,0.019,0.0,,,0.0637,0.0031,0.0027,,4.07,0.0,1.91,0.11,0.11,,,,,,,1935.0,38.0,38.0,2018AJ....155...35S,2018AJ....155...35S,TEP,7,26,2.29,7,36,56.8,9.9,9.2,0.1831,1.2,2457281.24954,0.00036,4.6117093,9.9e-06,2018AJ....155...35S,0.6,0.011503644223720156,10.063716951160188,9.673716951160188,9.525716951160188,9.187716951160189
